yourlist:M20180720A7434721E10EE6586998A056CCD0537E950220G	isomap:M20180720A7434721E10EE6586998A056CCD0537E950220G	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPTS_1451		B2K9V8	DEOC_YERPB	reviewed	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC YPTS_1451	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002208769.1;
YPTS_1493		B2KA00	CLPS_YERPB	reviewed	ATP-dependent Clp protease adapter protein ClpS	clpS YPTS_1493	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211349.1;
YPTS_1502		B2KA09	LOLA_YERPB	reviewed	Outer-membrane lipoprotein carrier protein	lolA YPTS_1502	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211338.1;
YPTS_1505		B2KA12	SYS_YERPB	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS YPTS_1505	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211336.1;
YPTS_1515		B2KA22	SERC_YERPB	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC YPTS_1515	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192055.1;
YPTS_1516		B2KA23	AROA_YERPB	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA YPTS_1516	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192056.1;
YPTS_1517		B2KA24	KCY_YERPB	reviewed	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	cmk YPTS_1517	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211324.1;
YPTS_1519		B2KA26	IHFB_YERPB	reviewed	Integration host factor subunit beta (IHF-beta)	ihfB himD YPTS_1519	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211322.1;
YPTS_1523		B2KA30	LPXK_YERPB	reviewed	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	lpxK YPTS_1523	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211319.1;
YPTS_1527		B2KA34	KDSB_YERPB	reviewed	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	kdsB YPTS_1527	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211314.1;
YPTS_1532		B2JYQ7	MUKB_YERPB	reviewed	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)	mukB YPTS_1532	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413608.1;
YPTS_1543		B2JYR8	PYRD_YERPB	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD YPTS_1543	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211296.1;
YPTS_1546		B2JYS1	RLMKL_YERPB	reviewed	Ribosomal RNA large subunit methyltransferase K/L [Includes: 23S rRNA m2G2445 methyltransferase (EC 2.1.1.173) (rRNA (guanine-N(2)-)-methyltransferase RlmL); 23S rRNA m7G2069 methyltransferase (EC 2.1.1.264) (rRNA (guanine-N(7)-)-methyltransferase RlmK)]	rlmL YPTS_1546	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413611.1;
YPTS_1558		B2JYT3	MATP_YERPB	reviewed	Macrodomain Ter protein	matP YPTS_1558	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002226586.1;
YPTS_1565		B2JYU0	MGSA_YERPB	reviewed	Methylglyoxal synthase (MGS) (EC 4.2.3.3)	mgsA YPTS_1565	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002213060.1;
YPTS_1569		B2JYU4	RLMI_YERPB	reviewed	Ribosomal RNA large subunit methyltransferase I (EC 2.1.1.191) (23S rRNA m5C1962 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RlmI)	rlmI YPTS_1569	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002213052.1;
YPTS_1630		B2JZ02	GCH1_YERPB	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	folE YPTS_1630	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211960.1;
YPTS_1636		B2JZJ5	MAO1_YERPB	reviewed	NAD-dependent malic enzyme (NAD-ME) (EC 1.1.1.38)	maeA YPTS_1636	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211968.1;
YPTS_1637		B2JZJ6	CDD_YERPB	reviewed	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	cdd YPTS_1637	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192106.1;
YPTS_1644		B2JZK3	SYM_YERPB	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG YPTS_1644	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413632.1;
YPTS_1646		B2JZK5	URK_YERPB	reviewed	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)	udk YPTS_1646	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211872.1;
YPTS_1647		B2JZK6	DCD_YERPB	reviewed	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	dcd YPTS_1647	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211873.1;
YPTS_1665		B2JZM4	HIS6_YERPB	reviewed	Imidazole glycerol phosphate synthase subunit HisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF YPTS_1665	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192119.1;
YPTS_1666		B2JZM5	HIS4_YERPB	reviewed	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)	hisA YPTS_1666	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211891.1;
YPTS_1669		B2JZM8	HIS8_YERPB	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC YPTS_1669	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192121.1;
YPTS_1671		B2JZN0	HIS1_YERPB	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG YPTS_1671	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211896.1;
YPTS_1683		B2JZP2	Y1683_YERPB	reviewed	UPF0265 protein YPTS_1683	YPTS_1683	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002217522.1;
YPTS_1692		B2JZQ1	LLDD_YERPB	reviewed	L-lactate dehydrogenase (EC 1.1.-.-)	lldD YPTS_1692	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211919.1;
YPTS_1693		B2JZQ2	ASSY_YERPB	reviewed	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	argG YPTS_1693	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211920.1;
YPTS_1730		B2K0C8	MTFA_YERPB	reviewed	Protein MtfA (Mlc titration factor A)	mtfA YPTS_1730	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211042.1;
YPTS_1744		B2K0E2	PAGP_YERPB	reviewed	Lipid A palmitoyltransferase PagP (EC 2.3.1.251) (Lipid A acylation protein)	pagP crcA YPTS_1744	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192143.1;
YPTS_1772		B2K0H0	NUDL_YERPB	reviewed	Uncharacterized Nudix hydrolase NudL (EC 3.6.1.-)	nudL YPTS_1772	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211080.1;
YPTS_1775		B2K0H3	PURT_YERPB	reviewed	Formate-dependent phosphoribosylglycinamide formyltransferase (5'-phosphoribosylglycinamide transformylase 2) (Formate-dependent GAR transformylase) (EC 2.1.2.-) (GAR transformylase 2) (GART 2) (Non-folate glycinamide ribonucleotide transformylase) (Phosphoribosylglycinamide formyltransferase 2)	purT YPTS_1775	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192155.1;
YPTS_1860		B2K198	NQOR_YERPB	reviewed	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (Flavoprotein WrbA) (NAD(P)H:quinone oxidoreductase) (NQO)	YPTS_1860	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211168.1;
YPTS_2012		B2K295	ASTA_YERPB	reviewed	Arginine N-succinyltransferase (AST) (EC 2.3.1.109) (AOST)	astA YPTS_2012	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192371.1;
YPTS_2013		B2K296	ASTD_YERPB	reviewed	N-succinylglutamate 5-semialdehyde dehydrogenase (EC 1.2.1.71) (Succinylglutamic semialdehyde dehydrogenase) (SGSD)	astD YPTS_2013	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192372.1;
YPTS_2014		B2K297	ASTB_YERPB	reviewed	N-succinylarginine dihydrolase (EC 3.5.3.23)	astB YPTS_2014	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212029.1;
YPTS_2015		B2K298	ASTE_YERPB	reviewed	Succinylglutamate desuccinylase (EC 3.5.1.96)	astE YPTS_2015	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002212028.1;
YPTS_2060		B2K2Y7	ISPE_YERPB	reviewed	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	ispE YPTS_2060	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211239.1;
YPTS_2061		B2K2Y8	LOLB_YERPB	reviewed	Outer-membrane lipoprotein LolB	lolB YPTS_2061	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192397.1;
YPTS_2063		B2K2Z0	RF1_YERPB	reviewed	Peptide chain release factor 1 (RF-1)	prfA YPTS_2063	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211236.1;
YPTS_2067		B2K2Z4	KDSA_YERPB	reviewed	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA YPTS_2067	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211232.1;
YPTS_2077		B2K303	Y2077_YERPB	reviewed	Probable phosphatase YPTS_2077 (EC 3.1.3.-)	YPTS_2077	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211221.1;
YPTS_2082		B2K308	Y2082_YERPB	reviewed	UPF0502 protein YPTS_2082	YPTS_2082	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413713.1;
YPTS_2088		B2K312	SYR_YERPB	reviewed	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	argS YPTS_2088	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413716.1;
YPTS_2090		B2K314	CUTC_YERPB	reviewed	Copper homeostasis protein CutC	cutC YPTS_2090	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192410.1;
YPTS_2091		B2K315	CMOB_YERPB	reviewed	tRNA U34 carboxymethyltransferase (EC 2.5.1.-)	cmoB YPTS_2091	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192411.1;
YPTS_2092		B2K316	CMOA2_YERPB	reviewed	Carboxy-S-adenosyl-L-methionine synthase 2 (Cx-SAM synthase 2) (EC 2.1.3.-)	cmoA2 YPTS_2092	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211207.1;
YPTS_2095		B2K319	SYD_YERPB	reviewed	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS YPTS_2095	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211204.1;
YPTS_2097		B2K321	Y2097_YERPB	reviewed	Probable transcriptional regulatory protein YPTS_2097	YPTS_2097	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211202.1;
YPTS_2099		B2K323	RUVA_YERPB	reviewed	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	ruvA YPTS_2099	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211199.1;
YPTS_2100		B2K324	RUVB_YERPB	reviewed	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB YPTS_2100	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211198.1;
YPTS_2120		B2K3N7	MINE_YERPB	reviewed	Cell division topological specificity factor	minE YPTS_2120	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211180.1;
YPTS_2122		B2K3N9	MINC_YERPB	reviewed	Probable septum site-determining protein MinC	minC YPTS_2122	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002220631.1;
YPTS_2123		B2K3P0	Y2123_YERPB	reviewed	YcgL domain-containing protein YPTS_2123	YPTS_2123	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211743.1;
YPTS_2134		B2K3Q1	FADR_YERPB	reviewed	Fatty acid metabolism regulator protein	fadR YPTS_2134	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211688.1;
YPTS_2136		B2K3Q3	DADA_YERPB	reviewed	D-amino acid dehydrogenase (EC 1.4.99.-)	dadA YPTS_2136	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211686.1;
YPTS_2141		B2K3Q8	Y2141_YERPB	reviewed	UPF0229 protein YPTS_2141	YPTS_2141	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002216501.1;
YPTS_2147		B2K3R4	MSRB_YERPB	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB YPTS_2147	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211677.1;
YPTS_2196		B2K3W1	TRPA_YERPB	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA YPTS_2196	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192442.1;
YPTS_2197		B2K3W2	TRPB_YERPB	reviewed	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB YPTS_2197	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210633.1;
YPTS_2199		B2K3W4	TRPD_YERPB	reviewed	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD YPTS_2199	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002215980.1;
YPTS_2219		B2K4I4	PYRF_YERPB	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF YPTS_2219	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192450.1;
YPTS_2227		B2K4J2	RNB_YERPB	reviewed	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)	rnb YPTS_2227	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192452.1;
YPTS_2235		B2K4K0	RNFC_YERPB	reviewed	Ion-translocating oxidoreductase complex subunit C (EC 1.18.1.-) (Rnf electron transport complex subunit C)	rnfC YPTS_2235	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192458.1;
YPTS_2250		B2K4L5	ADD_YERPB	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	add YPTS_2250	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192469.1;
YPTS_2311		B2K4S6	Y2311_YERPB	reviewed	UPF0312 protein YPTS_2311	YPTS_2311	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211011.1;
YPTS_2330		B2K5E0	TTCA_YERPB	reviewed	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	ttcA YPTS_2330	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192516.1;
YPTS_2342		B2K5F2	Y2342_YERPB	reviewed	UPF0283 membrane protein YPTS_2342	YPTS_2342	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413752.1;
YPTS_2360		B2K5H0	SYY_YERPB	reviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS YPTS_2360	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192524.1;
YPTS_2374		B2K5I4	PURR_YERPB	reviewed	HTH-type transcriptional repressor PurR (Pur regulon repressor) (Purine nucleotide synthesis repressor)	purR YPTS_2374	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210943.1;
YPTS_2384		B2K5J4	SUFS_YERPB	reviewed	Cysteine desulfurase (EC 2.8.1.7) (Selenocysteine beta-lyase) (SCL) (Selenocysteine lyase) (EC 4.4.1.16) (Selenocysteine reductase)	sufS YPTS_2384	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192533.1;
YPTS_2394		B2K5K4	PSRP_YERPB	reviewed	Putative phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)	YPTS_2394	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211814.1;
YPTS_2396		B2K5K6	Y2396_YERPB	reviewed	UPF0061 protein YPTS_2396	YPTS_2396	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192539.1;
YPTS_2397		B2K5K7	LPLA_YERPB	reviewed	Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase)	lplA YPTS_2397	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192540.1;
YPTS_2401		B2K5L1	ARNT_YERPB	reviewed	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	arnT YPTS_2401	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211821.1;
YPTS_2403		B2K5L3	ARNA_YERPB	reviewed	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA YPTS_2403	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192542.1;
YPTS_2404		B2K5L4	ARNC_YERPB	reviewed	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC YPTS_2404	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192543.1;
YPTS_2405		B2K5L5	ARNB_YERPB	reviewed	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB YPTS_2405	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211825.1;
YPTS_2410		B2K662	IHFA_YERPB	reviewed	Integration host factor subunit alpha (IHF-alpha)	ihfA himA YPTS_2410	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211830.1;
YPTS_2412		B2K664	SYFA_YERPB	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS YPTS_2412	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192546.1;
YPTS_2413		B2K665	RL20_YERPB	reviewed	50S ribosomal protein L20	rplT YPTS_2413	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211833.1;
YPTS_2414		B2K666	RL35_YERPB	reviewed	50S ribosomal protein L35	rpmI YPTS_2414	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211834.1;
YPTS_2416		B2K668	SYT_YERPB	reviewed	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS YPTS_2416	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211836.1;
YPTS_2450		B2K6A2	HTPX_YERPB	reviewed	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	htpX YPTS_2450	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210847.1;
YPTS_2452		B2K6A4	PROQ_YERPB	reviewed	RNA chaperone ProQ	proQ YPTS_2452	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210849.1;
YPTS_2494		B2K6E6	BGAL_YERPB	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ YPTS_2494	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192578.1;
YPTS_2513		B2K711	MNMA_YERPB	reviewed	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA YPTS_2513	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210913.1;
YPTS_2514		B2K712	HFLD_YERPB	reviewed	High frequency lysogenization protein HflD homolog	hflD YPTS_2514	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210914.1;
YPTS_2521		B2K719	PEPT_YERPB	reviewed	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT YPTS_2521	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210920.1;
YPTS_2523		B2K721	NAGK_YERPB	reviewed	N-acetyl-D-glucosamine kinase (EC 2.7.1.59) (GlcNAc kinase)	nagK YPTS_2523	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	
YPTS_2533		B2K731	NAGZ_YERPB	reviewed	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	nagZ YPTS_2533	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192592.1;
YPTS_2554		B2K751	KTHY_YERPB	reviewed	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	tmk YPTS_2554	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192604.1;
YPTS_2558		B2K755	ACP_YERPB	reviewed	Acyl carrier protein (ACP)	acpP YPTS_2558	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002220787.1;
YPTS_2562		B2K759	PLSX_YERPB	reviewed	Phosphate acyltransferase (EC 2.3.1.n2) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX YPTS_2562	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210932.1;
YPTS_2563		B2K760	RL32_YERPB	reviewed	50S ribosomal protein L32	rpmF YPTS_2563	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210931.1;
YPTS_2570		B2K767	PYRC_YERPB	reviewed	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC YPTS_2570	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_011192610.1;
YPTS_2573		B2K770	MTOX_YERPB	reviewed	N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	solA YPTS_2573	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002211850.1;
YPTS_2590		B2K787	NHAP2_YERPB	reviewed	K(+)/H(+) antiporter NhaP2 (Potassium/proton antiporter NhaP2)	nhaP2 cvrA YPTS_2590	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413788.1;
YPTS_2641		B2K7Y0	DPS_YERPB	reviewed	DNA protection during starvation protein (EC 1.16.-.-)	dps YPTS_2641	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210233.1;
YPTS_2647		B2K7Y6	RLMF_YERPB	reviewed	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)	rlmF YPTS_2647	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002230969.1;
YPTS_2651		B2K7Z0	MENC_YERPB	reviewed	o-succinylbenzoate synthase (OSB synthase) (OSBS) (EC 4.2.1.113) (4-(2'-carboxyphenyl)-4-oxybutyric acid synthase) (o-succinylbenzoic acid synthase)	menC YPTS_2651	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413803.1;
YPTS_2653		B2K7Z2	MENH_YERPB	reviewed	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) (EC 4.2.99.20)	menH YPTS_2653	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413804.1;
YPTS_2654		B2K7Z3	MEND_YERPB	reviewed	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD)	menD YPTS_2654	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_012413805.1;
YPTS_2675		B2K814	NUOI_YERPB	reviewed	NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	nuoI YPTS_2675	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210273.1;
YPTS_2676		B2K815	NUOH_YERPB	reviewed	NADH-quinone oxidoreductase subunit H (EC 1.6.5.11) (NADH dehydrogenase I subunit H) (NDH-1 subunit H)	nuoH YPTS_2676	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210274.1;
YPTS_2680		B2K819	NUOCD_YERPB	reviewed	NADH-quinone oxidoreductase subunit C/D (EC 1.6.5.11) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D)	nuoC nuoCD nuoD YPTS_2680	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210277.1;
YPTS_2681		B2K820	NUOB_YERPB	reviewed	NADH-quinone oxidoreductase subunit B (EC 1.6.5.11) (NADH dehydrogenase I subunit B) (NDH-1 subunit B)	nuoB YPTS_2681	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	WP_002210278.1;
