yourlist:M20180720A7434721E10EE6586998A056CCD0537E950197S	isomap:M20180720A7434721E10EE6586998A056CCD0537E950197S	Entry	Entry name	Status	Protein names	Gene names	Organism	Cross-reference (RefSeq)
YPO2063		Q7CIC3	Q7CIC3_YERPE	unreviewed	Lipid A biosynthesis myristoyltransferase (EC 2.3.1.243) (Kdo(2)-lauroyl-lipid IV(A) myristoyltransferase)	msbB lpxM YPO2063	Yersinia pestis	WP_002211194.1;YP_002347045.1;
YPO2064		Q7CIC4	Q7CIC4_YERPE	unreviewed	Pyruvate kinase (EC 2.7.1.40)	pykA YPO2064	Yersinia pestis	WP_002211193.1;YP_002347046.1;
YPO2065		Q0WF91	Q0WF91_YERPE	unreviewed	Hex regulon repressor	hexR YPO2065	Yersinia pestis	WP_002211192.1;YP_002347047.1;
YPO2066		Q0WF90	Q0WF90_YERPE	unreviewed	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf YPO2066	Yersinia pestis	WP_002211191.1;
YPO2067		Q7CIC5	Q7CIC5_YERPE	unreviewed	KHG/KDPG aldolase (EC 4.1.3.16)	eda YPO2067	Yersinia pestis	WP_002211190.1;YP_002347049.1;
YPO2070		Q7CIC7	Q7CIC7_YERPE	unreviewed	Uncharacterized protein	YPO2070	Yersinia pestis	WP_002211186.1;YP_002347052.1;
YPO2071		Q7CIC8	Q7CIC8_YERPE	unreviewed	Putative DEAD box family helicase	YPO2071	Yersinia pestis	WP_002211185.1;YP_002347053.1;
YPO2072		Q0WF84	Q0WF84_YERPE	unreviewed	Uncharacterized protein	YPO2072	Yersinia pestis	WP_002211184.1;YP_002347054.1;
YPO2073		Q0WF83	Q0WF83_YERPE	unreviewed	Putative lipoprotein	YPO2073	Yersinia pestis	WP_002227940.1;YP_002347055.1;
YPO2074		Q8ZES9	LCFA_YERPE	reviewed	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase)	fadD YPO2074 y2236 YP_1917	Yersinia pestis	WP_002211182.1;YP_002347056.1;
YPO2075		Q0WF81	Q0WF81_YERPE	unreviewed	Ribonuclease D (RNase D) (EC 3.1.13.5)	rnd YPO2075	Yersinia pestis	WP_002211181.1;YP_002347057.1;
YPO2076		Q8ZES7	MINE_YERPE	reviewed	Cell division topological specificity factor	minE YPO2076 y2234 YP_1919	Yersinia pestis	WP_002211180.1;YP_002347058.1;
YPO2077		Q7CIC9	Q7CIC9_YERPE	unreviewed	Site-determining protein	minD YPO2077	Yersinia pestis	WP_002211179.1;YP_002347059.1;
YPO2078		Q8ZES5	MINC_YERPE	reviewed	Septum site-determining protein MinC	minC YPO2078 y2232 YP_1921	Yersinia pestis	WP_002220631.1;YP_002347060.1;
YPO2080		Q7CID0	Y2080_YERPE	reviewed	YcgL domain-containing protein YPO2080/y2231/YP_1923	YPO2080 y2231 YP_1923	Yersinia pestis	WP_002211743.1;YP_002347062.1;
YPO2082		Q0WF74	Q0WF74_YERPE	unreviewed	Putative fumarylacetoacetate hydrolase family protein	YPO2082	Yersinia pestis	WP_002211740.1;YP_002347064.1;
YPO2109		Q7CIE4	Q7CIE4_YERPE	unreviewed	Hypothetical phage protein	YPO2109	Yersinia pestis	WP_002211720.1;YP_002347087.1;
YPO2110		Q7CIE5	Q7CIE5_YERPE	unreviewed	Putative phage protein	YPO2110	Yersinia pestis	WP_002211719.1;YP_002347088.1;
YPO2124		Q7CIF6	Q7CIF6_YERPE	unreviewed	Hypothetical phage protein	YPO2124	Yersinia pestis	WP_002211707.1;YP_002347102.1;
YPO2125		Q0WF35	Q0WF35_YERPE	unreviewed	Putative phage regulatory protein	YPO2125	Yersinia pestis	
YPO2127		Q7CIF8	Q7CIF8_YERPE	unreviewed	Putative phage-related membrane protein	YPO2127	Yersinia pestis	WP_002214482.1;YP_002347105.1;
YPO2144		Q8ZEL9	FADR_YERPE	reviewed	Fatty acid metabolism regulator protein	fadR YPO2144 y2177 YP_1946	Yersinia pestis	WP_002211688.1;YP_002347121.1;
YPO2145		Q7CIG7	Q7CIG7_YERPE	unreviewed	Uncharacterized protein	YPO2145	Yersinia pestis	WP_002211687.1;YP_002347122.1;
YPO2147		Q8ZEL7	DADA_YERPE	reviewed	D-amino acid dehydrogenase (EC 1.4.99.-)	dadA YPO2147 y2174 YP_1948	Yersinia pestis	WP_002211686.1;YP_002347123.1;
YPO2149		Q74U09	Q74U09_YERPE	unreviewed	Uncharacterized protein	YPO2149	Yersinia pestis	WP_002211685.1;YP_002347125.1;
YPO2150		Q0WF12	Q0WF12_YERPE	unreviewed	LysR-family transcriptional regulatory protein	YPO2150	Yersinia pestis	WP_002211684.1;YP_002347126.1;
YPO2152		Q8ZEL2	Y2152_YERPE	reviewed	UPF0229 protein YPO2152/y2169/YP_1953	YPO2152 y2169 YP_1953	Yersinia pestis	WP_002216501.1;YP_002347128.1;
YPO2153		Q7CIH0	Q7CIH0_YERPE	unreviewed	Uncharacterized protein	YPO2153	Yersinia pestis	WP_002211681.1;YP_002347129.1;
YPO2155		Q7CIH1	Q7CIH1_YERPE	unreviewed	Putative exported protein	YPO2155	Yersinia pestis	WP_002211680.1;YP_002347130.1;
YPO2156		Q7CIH2	Q7CIH2_YERPE	unreviewed	Putative glucose-6-phosphate 1-epimerase (EC 5.1.3.15)	YPO2156	Yersinia pestis	WP_002211679.1;YP_002347131.1;
YPO2157		Q7CIH3	Q7CIH3_YERPE	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	gapA YPO2157	Yersinia pestis	WP_002211678.1;YP_002347132.1;
YPO2158		Q8ZEK7	MSRB_YERPE	reviewed	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	msrB YPO2158 y2164 YP_1958	Yersinia pestis	WP_002211677.1;YP_002347133.1;
YPO2159		Q0WF04	Q0WF04_YERPE	unreviewed	Uncharacterized protein	YPO2159	Yersinia pestis	WP_002217933.1;YP_002347134.1;
YPO2161		Q7CIH5	Q7CIH5_YERPE	unreviewed	L-asparaginase I (EC 3.5.1.1)	ansA YPO2161	Yersinia pestis	WP_002211675.1;YP_002347136.1;
YPO2162		Q7CIH6	Q7CIH6_YERPE	unreviewed	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV) (Signal peptide peptidase)	sppA YPO2162	Yersinia pestis	WP_002211674.1;YP_002347137.1;
YPO2163		Q7CIH7	Q7CIH7_YERPE	unreviewed	Putative nitroreductase	YPO2163	Yersinia pestis	WP_002211673.1;YP_002347138.1;
YPO2164		Q8ZEK1	SELD_YERPE	reviewed	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	selD YPO2164 y2157 YP_1964	Yersinia pestis	WP_002211671.1;YP_002347139.1;
YPO2165		Q0WEZ8	Q0WEZ8_YERPE	unreviewed	DNA topoisomerase 3 (EC 5.99.1.2) (DNA topoisomerase III)	topB YPO2165	Yersinia pestis	WP_002227932.1;YP_002347140.1;
YPO2167		Q7CIH9	Q7CIH9_YERPE	unreviewed	Putative pyrophosphohydrolase	nudG YPO2167	Yersinia pestis	WP_002211668.1;YP_002347142.1;
YPO2168		Q0WEZ5	Q0WEZ5_YERPE	unreviewed	Exodeoxyribonuclease III (EC 3.1.11.2)	xth YPO2168	Yersinia pestis	WP_002211667.1;YP_002347143.1;
YPO2172		Q8ZEJ5	Y2172_YERPE	reviewed	UPF0225 protein YPO2172/y2149/YP_1971	YPO2172 y2149 YP_1971	Yersinia pestis	WP_002210666.1;YP_002347146.1;
YPO2173		Q7CII2	Q7CII2_YERPE	unreviewed	Regulator of RpoS	rssB YPO2173	Yersinia pestis	WP_002210665.1;YP_002347147.1;
YPO2174		Q0WEZ0	Q0WEZ0_YERPE	unreviewed	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	YPO2174	Yersinia pestis	WP_002210664.1;YP_002347148.1;
YPO2175		Q0WEY9	Q0WEY9_YERPE	unreviewed	DNA-binding protein	bglY YPO2175	Yersinia pestis	WP_002210661.1;YP_002347149.1;
YPO2180		Q74TY8	Q74TY8_YERPE	unreviewed	Aldehyde-alcohol dehydrogenase	adhE YPO2180	Yersinia pestis	WP_002210657.1;YP_002347153.1;
YPO2182		Q7CIN4	Q7CIN4_YERPE	unreviewed	Periplasmic oligopeptide-binding protein	oppA YPO2182	Yersinia pestis	WP_002218177.1;YP_002347155.1;
YPO2185		Q7CIN1	Q7CIN1_YERPE	unreviewed	Oligopeptide transport ATP-binding protein	oppD YPO2185	Yersinia pestis	WP_002210652.1;YP_002347158.1;
YPO2186		Q7CIN0	Q7CIN0_YERPE	unreviewed	Oligopeptide transport ATP-binding protein	oppF YPO2186	Yersinia pestis	WP_002210651.1;YP_002347159.1;
YPO2187		Q8ZEI3	Y2187_YERPE	reviewed	UPF0263 protein YPO2187/y2032/YP_1985	YPO2187 y2032 YP_1985	Yersinia pestis	WP_002210649.1;YP_002347160.1;
YPO2188		Q8ZEI2	CLSA_YERPE	reviewed	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)	clsA cls YPO2188 y2033 YP_1986	Yersinia pestis	WP_002210648.1;YP_002347161.1;
YPO2191		Q74TX7	Q74TX7_YERPE	unreviewed	Uncharacterized protein	YPO2191	Yersinia pestis	WP_002210644.1;YP_002347164.1;
YPO2193		Q7CIM7	Q7CIM7_YERPE	unreviewed	Protein TonB	tonB YPO2193	Yersinia pestis	WP_002210642.1;YP_002347166.1;
YPO2201		Q0WEW6	Q0WEW6_YERPE	unreviewed	Putative exported protein	ompW YPO2201	Yersinia pestis	WP_002210637.1;YP_002347172.1;
YPO2202		Q7CIM4	Q7CIM4_YERPE	unreviewed	Putative lipoprotein	YPO2202	Yersinia pestis	WP_002210636.1;YP_002347173.1;
YPO2203		Q8ZEH0	TRPA_YERPE	reviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA YPO2203 y2047 YP_2001	Yersinia pestis	WP_002210634.1;YP_002347174.1;
YPO2204		Q8ZEG9	TRPB_YERPE	reviewed	Tryptophan synthase beta chain (EC 4.2.1.20)	trpB YPO2204 y2048 YP_2002	Yersinia pestis	WP_002210633.1;YP_002347175.1;
YPO2205		Q8ZEG8	TRPC_YERPE	reviewed	Tryptophan biosynthesis protein TrpCF [Includes: Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phospho-ribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]	trpC YPO2205 y2049 YP_2003	Yersinia pestis	WP_002210632.1;YP_002347176.1;
YPO2206		Q8ZEG7	TRPD_YERPE	reviewed	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD YPO2206 y2050 YP_2004	Yersinia pestis	
YPO2212		Q7CIM2	Q7CIM2_YERPE	unreviewed	Uncharacterized protein	YPO2212	Yersinia pestis	WP_002210628.1;YP_002347183.1;
YPO2213		Q8ZEG0	RLUB_YERPE	reviewed	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)	rluB YPO2213 y2054 YP_2010	Yersinia pestis	
YPO2215		Q0WEV2	Q0WEV2_YERPE	unreviewed	Putative short chain dehydrogenase	YPO2215	Yersinia pestis	WP_002210625.1;YP_002347186.1;
YPO2216		Q7CIM0	Q7CIM0_YERPE	unreviewed	Peptidase family U7 protein (EC 3.4.21.-)	sohB YPO2216	Yersinia pestis	WP_002210624.1;YP_002347187.1;
YPO2217		Q7CIL9	Q7CIL9_YERPE	unreviewed	Uncharacterized protein	YPO2217	Yersinia pestis	WP_002210623.1;YP_002347188.1;
YPO2218		Q7CIL8	Q7CIL8_YERPE	unreviewed	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I)	supX topA YPO2218	Yersinia pestis	WP_002210622.1;YP_002347190.1;
YPO2219		Q7CIL7	Q7CIL7_YERPE	unreviewed	Cys regulon transcriptional activator	cysB YPO2219	Yersinia pestis	WP_002210621.1;YP_002347191.1;
YPO2221		Q7CIL5	Q7CIL5_YERPE	unreviewed	Aconitate hydratase (Aconitase) (EC 4.2.1.3)	acn YPO2221	Yersinia pestis	WP_002215187.1;YP_002347193.1;
YPO2222		Q8ZEF0	RIBA_YERPE	reviewed	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA YPO2222 y2064 YP_2020	Yersinia pestis	WP_002227926.1;YP_002347194.1;
YPO2224		Q0WEU2	Q0WEU2_YERPE	unreviewed	Lipopolysaccharide assembly protein A	lapA YPO2224	Yersinia pestis	WP_002210616.1;YP_002347196.1;
YPO2225		Q7CIL3	Q7CIL3_YERPE	unreviewed	Lipopolysaccharide assembly protein B	lapB YPO2225	Yersinia pestis	WP_002210615.1;YP_002347197.1;
YPO2227		P58644	PYRF_YERPE	reviewed	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF YPO2227 y2069 YP_2026	Yersinia pestis	WP_002210613.1;YP_002347199.1;
YPO2228		Q7CIL1	Q7CIL1_YERPE	unreviewed	Translation initiation factor SUI1 family protein	YPO2228	Yersinia pestis	WP_002210612.1;YP_002347200.1;
YPO2232		Q0WET4	Q0WET4_YERPE	unreviewed	Transaldolase (EC 2.2.1.2)	mipB YPO2232	Yersinia pestis	WP_002215192.1;YP_002347204.1;
YPO2234		Q0WET2	Q0WET2_YERPE	unreviewed	Putative carbon starvation protein A	cstA YPO2234	Yersinia pestis	WP_002210606.1;YP_002347206.1;
YPO2235		Q8ZED8	RNB_YERPE	reviewed	Exoribonuclease 2 (EC 3.1.13.1) (Exoribonuclease II) (RNase II) (Ribonuclease II)	rnb YPO2235 y2077 YP_2034	Yersinia pestis	WP_002210605.1;YP_002347207.1;
YPO2238		Q7CIK7	Q7CIK7_YERPE	unreviewed	Uncharacterized protein	YPO2238	Yersinia pestis	WP_002227924.1;YP_002347209.1;
YPO2239		Q7CIK6	Q7CIK6_YERPE	unreviewed	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth YPO2239	Yersinia pestis	WP_002210602.1;YP_002347210.1;
YPO2243		Q7CIK5	Q7CIK5_YERPE	unreviewed	Putative AraC-family transcriptional regulatory protein	YPO2243	Yersinia pestis	WP_002210598.1;YP_002347214.1;
YPO2244		Q0WES3	Q0WES3_YERPE	unreviewed	Ion-translocating oxidoreductase complex subunit C (EC 1.18.1.-) (Rnf electron transport complex subunit C)	rnfC YPO2244	Yersinia pestis	WP_002210597.1;YP_002347215.1;
YPO2255		Q7CIK2	Q7CIK2_YERPE	unreviewed	L-arabinose-binding periplasmic protein (ABP)	araF YPO2255	Yersinia pestis	WP_002210589.1;YP_002347222.1;
YPO2256		Q0WER5	ARAG_YERPE	reviewed	Arabinose import ATP-binding protein AraG (EC 3.6.3.17)	araG YPO2256 y2097 YP_2052	Yersinia pestis	WP_002210588.1;
YPO2259		Q7CIK0	Q7CIK0_YERPE	unreviewed	Putative oxidoreductase	YPO2259	Yersinia pestis	WP_002210585.1;YP_002347226.1;
YPO2262		Q0WEQ9	Q0WEQ9_YERPE	unreviewed	Putative exported protein	YPO2262	Yersinia pestis	WP_002216605.1;YP_002347229.1;
YPO2263		Q74TS8	Q74TS8_YERPE	unreviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8)	manA YPO2263	Yersinia pestis	WP_002210579.1;YP_002347230.1;
YPO2264		Q8ZEB6	FUMC_YERPE	reviewed	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	fumC YPO2264 y2106 YP_2061	Yersinia pestis	WP_002210578.1;YP_008853946.1;
YPO2268		Q74TS7	Q74TS7_YERPE	unreviewed	Putative ROK family transcriptional regulatory protein	mlc YPO2268	Yersinia pestis	WP_002210576.1;YP_002347234.1;
YPO2269		P69953	BIOD2_YERPE	reviewed	ATP-dependent dethiobiotin synthetase BioD 2 (EC 6.3.3.3) (DTB synthetase 2) (DTBS 2) (Dethiobiotin synthase 2)	bioD2 YPO2269 y2111 YP_2065	Yersinia pestis	WP_002210575.1;YP_002347235.1;
YPO2271		Q0WEQ1	Q0WEQ1_YERPE	unreviewed	Uncharacterized protein	YPO2271	Yersinia pestis	WP_002221822.1;YP_002347237.1;
YPO2272		Q0WEQ0	Q0WEQ0_YERPE	unreviewed	Uncharacterized protein	YPO2272	Yersinia pestis	WP_002210572.1;YP_002347238.1;
YPO2273		Q0WEP9	Q0WEP9_YERPE	unreviewed	Uncharacterized protein	YPO2273	Yersinia pestis	WP_001423297.1;YP_002347239.1;
YPO2283		Q7CIJ7	Q7CIJ7_YERPE	unreviewed	Putative LacI-family transcriptional regulatory protein	YPO2283	Yersinia pestis	WP_002211038.1;YP_002347250.1;
YPO2288		Q0WEN3	Q0WEN3_YERPE	unreviewed	AMP nucleosidase (EC 3.2.2.4)	amn YPO2288	Yersinia pestis	WP_002211033.1;YP_002347255.1;
YPO2292		Q0WEM9	Q0WEM9_YERPE	unreviewed	Putative lipoprotein	YPO2292	Yersinia pestis	WP_002211028.1;YP_002347259.1;
YPO2293		Q7CIJ3	Q7CIJ3_YERPE	unreviewed	Acetolactate synthase (EC 2.2.1.6)	ilvB YPO2293	Yersinia pestis	WP_002227915.1;YP_002347260.1;
YPO2294		Q0WEM7	Q0WEM7_YERPE	unreviewed	Putative acetolactate synthase small subunit (EC 2.2.1.6)	ilvN YPO2294	Yersinia pestis	WP_002211026.1;YP_002347261.1;
YPO2295		Q7CIJ2	Q7CIJ2_YERPE	unreviewed	Haloacid dehalogenase-like hydrolase family protein	YPO2295	Yersinia pestis	WP_002211025.1;YP_002347262.1;
YPO2299		Q7CIJ1	Q7CIJ1_YERPE	unreviewed	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	ogt YPO2299	Yersinia pestis	WP_002211023.1;YP_002347266.1;
YPO2300		Q8ZE82	FNR_YERPE	reviewed	Fumarate and nitrate reduction regulatory protein	fnr YPO2300 y2132 YP_2085	Yersinia pestis	WP_002211022.1;YP_002347267.1;
YPO2301		Q8ZE81	USPE_YERPE	reviewed	Universal stress protein E	uspE YPO2301 y2133 YP_2086	Yersinia pestis	WP_002211021.1;YP_002347268.1;
YPO2302		Q7CIJ0	Q7CIJ0_YERPE	unreviewed	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta)	pntB YPO2302	Yersinia pestis	WP_002211020.1;YP_002347269.1;
YPO2303		Q7CII9	Q7CII9_YERPE	unreviewed	NAD(P) transhydrogenase subunit alpha (EC 1.6.1.2)	pntA YPO2303	Yersinia pestis	WP_002211019.1;YP_002347270.1;
YPO2305		Q7CII8	Q7CII8_YERPE	unreviewed	Putative exported protein	YPO2305	Yersinia pestis	WP_002211018.1;YP_002347272.1;
YPO2307		Q7CII6	Q7CII6_YERPE	unreviewed	Uncharacterized protein	YPO2307	Yersinia pestis	WP_002211016.1;YP_002347274.1;
YPO2310		Q7CII5	Q7CII5_YERPE	unreviewed	Metal-dependent carboxypeptidase (EC 3.4.17.19)	YPO2310	Yersinia pestis	WP_002211014.1;YP_002347277.1;
YPO2315		Q8ZE68	Y2315_YERPE	reviewed	UPF0312 protein YPO2315/YP_2102	YPO2315 YP_2102	Yersinia pestis	WP_002211011.1;YP_002347282.1;
YPO2320		Q7CIP1	Q7CIP1_YERPE	unreviewed	Putative DNA-binding phage-related protein	YPO2320	Yersinia pestis	WP_002211007.1;YP_002347287.1;
YPO2323		Q8ZE60	AZOR_YERPE	reviewed	FMN-dependent NADH-azoreductase (EC 1.7.-.-) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase)	azoR YPO2323 y2010 YP_2110	Yersinia pestis	WP_002211004.1;YP_002347290.1;
YPO2324		Q7CIP2	Q7CIP2_YERPE	unreviewed	Putative transcriptional regulatory protein	YPO2324	Yersinia pestis	WP_002211003.1;YP_002347291.1;
YPO2326		Q7CIP3	Q7CIP3_YERPE	unreviewed	Putative exported protein	YPO2326	Yersinia pestis	WP_002211001.1;YP_002347293.1;
YPO2329		Q0WEJ2	Q0WEJ2_YERPE	unreviewed	D-lactate dehydrogenase (EC 1.1.1.28)	hslI YPO2329	Yersinia pestis	WP_002210998.1;YP_002347296.1;
YPO2330		Q7CIP4	Q7CIP4_YERPE	unreviewed	Putative heat shock protein	hslJ YPO2330	Yersinia pestis	WP_002214605.1;YP_002347297.1;
YPO2332		Q7CIP5	Q7CIP5_YERPE	unreviewed	Putative membrane protein	YPO2332	Yersinia pestis	WP_002210995.1;YP_002347299.1;
YPO2334		Q7CIP7	Q7CIP7_YERPE	unreviewed	Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	nifJ YPO2334	Yersinia pestis	WP_002210993.1;YP_002347301.1;
YPO2335		Q7CIP8	TTCA_YERPE	reviewed	tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA)	ttcA YPO2335 y1998 YP_2121	Yersinia pestis	WP_002210992.1;YP_002347302.1;
YPO2336		Q0WEI5	Q0WEI5_YERPE	unreviewed	Putative exported protein	YPO2336	Yersinia pestis	WP_002210991.1;YP_002347303.1;
YPO2337		Q7CIP9	Q7CIP9_YERPE	unreviewed	Putative regulatory protein	YPO2337	Yersinia pestis	WP_002210990.1;YP_002347304.1;
YPO2338		Q8ZE46	ZNTB_YERPE	reviewed	Zinc transport protein ZntB	zntB YPO2338 y1994 YP_2125	Yersinia pestis	WP_002227906.1;YP_002347305.1;
YPO2339		Q7CIQ0	Q7CIQ0_YERPE	unreviewed	Putative periplasmic murein peptide-binding protein	mppA YPO2339	Yersinia pestis	WP_002210987.1;YP_002347306.1;
YPO2342		Q8ZE42	TPX_YERPE	reviewed	Thiol peroxidase (Tpx) (EC 1.11.1.15) (Peroxiredoxin tpx) (Prx) (Thioredoxin peroxidase)	tpx YPO2342 y1990 YP_2129	Yersinia pestis	WP_002210984.1;YP_002347309.1;
YPO2344		Q0WEH7	Q0WEH7_YERPE	unreviewed	Transcriptional regulatory protein	tyrR YPO2344	Yersinia pestis	WP_002210983.1;YP_002347311.1;
YPO2347		Q8ZE38	Y2347_YERPE	reviewed	UPF0283 membrane protein YPO2347/y1985/YP_2134	YPO2347 y1985 YP_2134	Yersinia pestis	WP_002210980.1;YP_002347314.1;
YPO2348		Q7CIQ5	Q7CIQ5_YERPE	unreviewed	Uncharacterized protein	YPO2348	Yersinia pestis	WP_002210979.1;YP_002347315.1;
YPO2349		Q7CIQ6	Q7CIQ6_YERPE	unreviewed	Phage shock protein C	pspC YPO2349	Yersinia pestis	WP_002210977.1;YP_002347316.1;
YPO2350		Q7CIQ7	Q7CIQ7_YERPE	unreviewed	Phage shock protein B	pspB YPO2350	Yersinia pestis	WP_002210976.1;YP_002347317.1;
YPO2351		Q7CIQ8	Q7CIQ8_YERPE	unreviewed	Phage shock protein A	pspA YPO2351	Yersinia pestis	WP_002210975.1;YP_002347318.1;
YPO2352		Q0WEG9	Q0WEG9_YERPE	unreviewed	Psp operon transcriptional activator	pspF YPO2352	Yersinia pestis	WP_002210974.1;YP_002347319.1;
YPO2355		Q7CIR0	Q7CIR0_YERPE	unreviewed	Peptide transport periplasmic protein	sapA YPO2355	Yersinia pestis	WP_002210973.1;YP_002347322.1;
YPO2356		Q7CIR1	Q7CIR1_YERPE	unreviewed	Peptide transport system permease protein	sapB YPO2356	Yersinia pestis	WP_002210972.1;YP_002347323.1;
YPO2359		Q7CIR4	Q7CIR4_YERPE	unreviewed	Peptide transport system ATP-binding protein	sapF YPO2359	Yersinia pestis	WP_002210969.1;YP_002347326.1;
YPO2367		Q0WEF5	Q0WEF5_YERPE	unreviewed	Glutathione S-transferase (EC 2.5.1.18)	gst YPO2367	Yersinia pestis	WP_002210962.1;YP_002347333.1;
YPO2368		Q7CIR8	PDXY_YERPE	reviewed	Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35)	pdxY YPO2368 y1967 YP_2154	Yersinia pestis	WP_002210961.1;YP_002347334.1;
YPO2369		Q8ZE20	SYY_YERPE	reviewed	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS YPO2369 y1966 YP_2155	Yersinia pestis	WP_002210960.1;YP_002347335.1;
YPO2370		Q8ZE19	PDXH_YERPE	reviewed	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH YPO2370 y1965 YP_2156	Yersinia pestis	WP_002210959.1;YP_002347336.1;
YPO2371		Q0WEF1	Q0WEF1_YERPE	unreviewed	Putative lipoprotein	YPO2371	Yersinia pestis	WP_002218323.1;YP_002347337.1;
YPO2372		Q0WEF0	ANMK_YERPE	reviewed	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK YPO2372 y1963 YP_2158	Yersinia pestis	WP_002218322.1;YP_002347338.1;
YPO2373		Q7CIS0	Q7CIS0_YERPE	unreviewed	Putative lipoprotein	pcp YPO2373	Yersinia pestis	WP_002210956.1;YP_002347339.1;
YPO2374		P69988	SLYA_YERPE	reviewed	Transcriptional regulator SlyA (Regulator of virulence protein A) (Transcriptional regulator for cryptic hemolysin)	slyA rovA YPO2374 y1961 YP_2160	Yersinia pestis	WP_002210955.1;YP_002347340.1;
YPO2375		Q74TJ5	Q74TJ5_YERPE	unreviewed	Putative aldo/keto reductase	YPO2375	Yersinia pestis	WP_002210954.1;YP_002347341.1;
YPO2378		Q7CIS1	Q7CIS1_YERPE	unreviewed	TetR-family transcriptional regulatory protein	YPO2378	Yersinia pestis	WP_002210951.1;YP_002347344.1;
YPO2379		Q74TJ1	Q74TJ1_YERPE	unreviewed	NADH:flavin oxidoreductase / NADH oxidase family protein	YPO2379	Yersinia pestis	WP_002210950.1;YP_002347345.1;
YPO2381		Q0WEE1	Q0WEE1_YERPE	unreviewed	Lactoylglutathione lyase (EC 4.4.1.5)	gloA YPO2381	Yersinia pestis	WP_002210948.1;YP_002347347.1;
YPO2382		Q8ZE08	RNT_YERPE	reviewed	Ribonuclease T (EC 3.1.13.-) (Exoribonuclease T) (RNase T)	rnt YPO2382 y1955 YP_2168	Yersinia pestis	WP_002227904.1;YP_002347348.1;
YPO2383		Q0WED9	Q0WED9_YERPE	unreviewed	Glutaredoxin	YPO2383	Yersinia pestis	WP_002210946.1;YP_002347349.1;
YPO2385		Q0WED7	Q0WED7_YERPE	unreviewed	Putative exported protein	YPO2385	Yersinia pestis	WP_002227903.1;YP_002347351.1;
YPO2386		Q0WED6	Q0WED6_YERPE	unreviewed	Superoxide dismutase (EC 1.15.1.1)	sodB YPO2386	Yersinia pestis	WP_002210944.1;YP_002347352.1;
YPO2387		Q7CIS2	PURR_YERPE	reviewed	HTH-type transcriptional repressor PurR (Pur regulon repressor) (Purine nucleotide synthesis repressor)	purR YPO2387 y1950 YP_2173	Yersinia pestis	WP_002210943.1;YP_002347353.1;
YPO2390		Q7CIS5	Q7CIS5_YERPE	unreviewed	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)	cdfA YPO2390	Yersinia pestis	WP_002210940.1;YP_002347356.1;
YPO2391		Q7CIS6	Q7CIS6_YERPE	unreviewed	Riboflavin synthase alpha chain (EC 2.5.1.9)	ribC YPO2391	Yersinia pestis	WP_002210939.1;YP_002347357.1;
